event,datetime,lon,lat,depth,intensity,station_id,station_name,station_lon,station_lat,distance,az,pga_v,pga_ns,pga_ew,d,pga_max,pga
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,EAH,Aohua,325096.94196660386,2691770.2759987144,36.62,216.15,0.72,0.86,0.86,36734.34611527946,0.86,1.4133647795243802
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,OWD,Aowanda,268320.57698391436,2649497.46793791,37.63,71.5,2.96,4.87,4.87,37635.04533101329,4.87,7.496359116264375
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,TWT,Deji,266247.06825259404,2682719.680460123,42.46,119.22,0.37,0.84,0.84,43087.56417675379,0.84,1.2442266674525184
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,NNS,Nanshan,288529.4091359714,2703806.1356598055,44.08,160.45,0.44,2.28,2.28,44758.00652790471,2.28,3.2542894769826485
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,EGFH,Guangfu,293860.0035413264,2618543.4268111447,44.74,13.06,7.16,4.26,7.16,44376.51837991747,7.16,10.98539029802765
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,ENA,Nan-ao,326051.95325948566,2702851.609190231,46.2,209.25,0.54,2.24,2.24,46674.44987675072,2.24,3.2135338803255213
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,EWT,Wuta,329081.6756176162,2705083.6161126345,49.49,211.08,0.68,1.12,1.12,50102.827805942485,1.12,1.7237169141132196
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,EHY,Hongye,283703.29888258694,2599690.051044772,65.03,17.96,0.71,1.17,1.17,65281.84823114961,1.17,1.8005277004256277
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,SHUL,Shuilian,307067.98607105465,2631879.043906284,34.89,98.95,13.94,22.37,22.37,35096.685820715575,22.37,34.57104858114663
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,EYL,Yanliao,311092.7932948438,2644078.08310115,35.52,121.0,19.0,35.94,35.94,35332.06273618503,35.94,54.262023552388825
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,HWA,HualienCity,312072.7542644263,2652942.4806326255,39.28,131.84,5.94,18.83,18.83,39737.811045377566,18.83,27.2840869372607
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,ESL,Xilin,294832.08213291,2634050.9237001794,47.52,99.88,6.65,15.13,15.13,47521.555147029816,15.13,22.406612863170555
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,TWD,Xiulin,311007.9127645317,2664013.279816505,48.47,141.56,4.49,5.0,5.0,48487.59677127029,5.0,8.376162605871498
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,ETM,Tongmen,299865.3439983832,2651787.3438262157,48.57,121.17,11.77,14.87,14.87,48918.74044025498,14.87,24.09910164300736
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,EGFH,Guangfu,293860.0035413264,2618543.4268111447,48.89,80.92,17.32,23.55,23.55,48552.6497119073,23.55,37.539144902354934
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,ETL,Taroko,313002.3806301754,2672882.3723930633,54.41,148.69,7.54,28.96,28.96,54553.80191146387,28.96,41.64390471605659
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,EHY,Hongye,283703.29888258694,2599690.051044772,63.79,65.95,7.88,8.99,8.99,63949.903804114874,8.99,14.957760527565615
1,2018-12-16 05:21:05,341753.03312180704,2626519.48546504,30.3,5.6,EHP,Heping,326123.7461568663,2689560.5508979065,64.88,166.23,15.78,29.86,29.86,64949.60001372934,29.86,45.0804569630788
