序號,資料集名稱,分類,資料提供單位,資料集描述,欄位名稱,Url
268,行政院環境保護署單位決算,生活環境與其他,會計室,以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入來源別決算表、歲入類平衡表、歲出政事別決算表、歲出機關別決算表、經費類平衡表,以前年度歲入來源別轉入數決算表(以前年度歲入來源別轉入數決算表)、以前年度歲出政事別轉入數決算表(以前年度歲出政事別轉入數決算表)、以前年度歲出機關別轉入數決算表(以前年度歲出機關別轉入數決算表)、歲入來源別決算表(歲入來源別決算表)、歲入類平衡表(歲入類平衡表)、歲出政事別決算表(歲出政事別決算表)、歲出機關別決算表(歲出機關別決算表)、經費類平衡(經費類平衡),https://opendata.epa.gov.tw/Data/Contents/OTH01532/
269,行政院環境保護署單位預算案,生活環境與其他,會計室,環保署單位預算案,agenno、agentype、b_amt、b06_agenno、b06_agentype、b06_amt1、06_amt1_display、b06_amt2、b06_amt2_display、b06_amt3、b06_amt3_display、b06_amt4、b06_amt4_display、b06_budgetamt、b06_budgetamt_display、b06_budgetstate、b06_endyear、b06_fiscalyear、b06_memo、b06_planname、b06_planno、b06_startyear、b07_agenno、b07_agentype、b07_budgetamt、b07_budgetstate、b07_daypersons、b07_fiscalyear、b07_items、b07_projtype、ba_agenno、ba_agentype、ba_budgetamt、ba_budgetno、ba_budgetsource、ba_budgetstate、ba_budgettype、ba_budgetyear、ba_departno、ba_fiscalyear、ba_objectno、ba_subprojectno、bc_agenno、bc_agentype、bc_budgetstate、bc_content、bc_fiscalyear、be_agenno、be_agentype、be_budgetno、be_budgetsource、be_budgetstate、be_budgettype、be_caseno、be_fiscalyear、be_ordinaryid、be_totalamt、bh_agenno、bh_agentype、bh_amt_business、bh_amt_house、bh_amt_land、bh_amt_man、bh_amt_other、bh_amt6、bh_amt7、bh_bgtyear、bh_budgetno、bh_budgetsource、bh_budgetstate、bh_donname、bh_donrem、bh_endowplanname、bh_endowplanno、bh_endowsts、bh_endyear、bh_fiscalyear、bh_objectno、bh_startyear、bh_subprojectno、bm_abroadallowance1、bm_abroadallowance2、bm_abroadallowance3、bm_abroadperiod1、bm_abroadperiod2、bm_abroadperiod3、bm_abroadperiodto1、bm_abroadperiodto2、bm_abroadperiodto3、bm_abroadplan、bm_abroadplanname、bm_abroadsite1、bm_abroadsite2、bm_abroadsite3、bm_abroadstaffs1、bm_abroadstaffs2、bm_abroadstaffs3、bm_agency、bm_agenno、bm_agentype、bm_amt_books、bm_amt_flight、bm_amt_life、bm_amt_public、bm_amt_trans、bm_budgetno、bm_budgetstate、bm_cont_text、bm_country、bm_days、bm_dispatchstaffs、bm_durationfrom、bm_durationto、bm_fiscalyear、bm_persons、bm_projno、bm_projtype、bm_regionno、bm_visitexplain、bm_visitsts、bn_agenno、bn_agentype、bn_amt_man、bn_amt_mngbsn、bn_budgetsource、bn_budgetstate、bn_fiscalyear、bn_man1、bn_man1_l、bn_man10、bn_man10_l、bn_man11、bn_man11_l、bn_man2、bn_man2_l、bn_man3、bn_man3_l、bn_man4、bn_man4_l、bn_man5、bn_man5_l、bn_man6、bn_man6_l、bn_man7、bn_man7_l、bn_man8、bn_man8_l、bn_man9、bn_man9_l、bn_text、bq_agenno、bq_agentype、bq_amt_maintain、bq_amt5、bq_budgetno、bq_budgetstate、bq_buydate、bq_carid、bq_carnum、bq_fiscalyear、bq_lpgamt、bq_lpgprice、bq_objectno、bq_oilamt、bq_oilprice、bq_persons、bq_remark、bq_ventsize、br_agenno、br_agentype、br_amtyear1、br_amtyear2、br_amtyear3、br_amtyear4、br_area1、br_area2、br_area3、br_area4、br_bookvalue1、br_budgetstate、br_deposit、br_deposit4、br_fiscalyear、br_holds1、br_holds2、br_holds3、br_objectno、br_rental、br_rental4、br_text、budget、budgetamt_sum、budgetname、budgetno、budgetno_conver、byear_amt、damt1、damt10、damt11、damt2、damt3、damt4、damt5、damt6、damt7、damt8、damt9、display_name、displaymemo、displayname、lyear_amt、m33_objectname、mh_budgetname、mh_budgetno、mh_itemserialno1、mh_itemserialno2、mh_itemserialno3、mh_itemserialno4、mi_objectname、mj_subprojectno_na、no1、no2、no3、no4、objectNo、objectnoname、this_budgetamt、this_daypersons、this_items、total、tyear_amt、人事費、土地購入_資、小計_經、小計_資、目、合計、科目名稱、消費支出_經、移轉民間_經、移轉民間_資、設備及投資、款、項、債務利息_經、債務費、業務費_經、業務費_資、節、經常支出小計、補助地方_經、補助地方_資、資本支出小計、資本形成_資、預備金_經、預備金_資、預算科目編號、?補助費_經、?補助費_資、增資_資、總計、職能別分類經濟性分類。,https://opendata.epa.gov.tw/Data/Contents/OTH01533/
270,行政院環境保護署會計月報,生活環境與其他,會計室,行政院環境保護署會計月報,會計月報(會計月報),https://opendata.epa.gov.tw/Data/Contents/OTH01465/
271,行政院環境保護署補助地方政府自行車道路線資料,生活環境與其他,空氣品質保護及噪音管制處,為減少空氣污染，鼓勵全民使用無污染交通工具－自行車，作為都會區內上班、上學及購物等替代運輸工具，並於自行車道兩旁植樹綠化。,name(計畫名稱)、description(自行車道設置基地座標說明)、Point(座標位置)、LineString(自行車道路線)。,https://opendata.epa.gov.tw/Data/Contents/BicycleLine/
272,行政院環境保護署環境保護人員訓練所法定預算,生活環境與其他,環境保護人員訓練所,環訓所單位預算(法定預算),環訓所單位預算(法定預算),https://opendata.epa.gov.tw/Data/Contents/OTH01536/
273,行政院環境保護署環境保護人員訓練所單位決算,生活環境與其他,環境保護人員訓練所,環訓所單位決算,環訓所單位決(環訓所單位決),https://opendata.epa.gov.tw/Data/Contents/OTH01537/
274,行政院環境保護署環境保護人員訓練所單位預算案,生活環境與其他,環境保護人員訓練所,環訓所單位預算案,環訓所單位預算(預算案),https://opendata.epa.gov.tw/Data/Contents/OTH01538/
275,行政院環境保護署環境保護人員訓練所會計月報,生活環境與其他,環境保護人員訓練所,環訓所會計月報,會計年度、月份、基金別、會計分類、使用機關別、科目分類、會計科目編號、會計科目名稱、金額、項目、預算科目編號、預算科目名稱、分支計畫編號、分支計畫名稱、一級用途別編號、一級用途別名稱、經資門、支出實現數、加項_預付款、加項_材料、加項_存出保證金、加項_零用金、加項_退還收入預收款、加項_其他應收款、減項_以前年度撥款於本年度實現數、公庫撥入數、公庫分配數餘額、科目名稱、取得成本、以前年度累計折舊_長期投資評價、本年度資本資產成本變動_增加數、本年度資本資產成本變動_減少數、本年度累計折舊_長期投資評價變動數、期末帳面金額、備註、業務計畫或工作計畫、用途別編號、用途別名稱、執行數、款、項、目、節、預算年度、原預算數、追加減數、第一預備金、第二預備金、經費流用數、預算調整數、截至本月止累計分配數_1、本月實現數、截至本月止累計實現數_2、應付數、已分配尚未執行數、備註_預暫付數、細目編號、細目名稱、應收收入數_3、分配數預算餘額_4、年度預算數、收入實現數、減項_收入待納庫數、加項_以前年度待納庫繳庫數、加項_以前年度撥款於本年度繳還數_材料、加項_以前年度撥款於本年度繳還數_存出保證金、加項_以前年度撥款於本年度繳還數_其他應收款、加項_預收款、加項_剔除經費、繳付公庫數、金額_本月數、金額_累計數。,https://opendata.epa.gov.tw/Data/Contents/OTH01519/
276,行政院環境保護署環境保護基金附屬單位決算,生活環境與其他,會計室,環境保護基金年度決算資料,檔案名稱(檔案名稱)、內容(內容),https://opendata.epa.gov.tw/Data/Contents/OTH01540/
277,行政院環境保護署環境保護基金附屬單位法定預算,生活環境與其他,會計室,環境保護基金預算(法定預算),SEQNO(SEQNO)、LEVEL(LEVEL)、BOLD(BOLD)、前年度決算數(前年度決算數)、項目(項目)、本年度預算數(本年度預算數)、上年度預算數(上年度預算數)、比較增減(比較增減)、預算數(預算數)、說明(說明),https://opendata.epa.gov.tw/Data/Contents/OTH01541/
278,行政院環境保護署環境保護基金附屬單位會計月報,生活環境與其他,會計室,環境保護基金月報資料,本年度截至本月份累計(本年度截至本月份累計),https://opendata.epa.gov.tw/Data/Contents/OTH01543/
279,行政院環境保護署環境保護基金附屬單位預算案,生活環境與其他,會計室,環境保護基金預算案,SEQNO(SEQNO)、LEVEL(LEVEL)、BOLD(BOLD)、前年度決算數(前年度決算數)、項目(項目)、本年度預算數(本年度預算數)、上年度預算數(上年度預算數)、比較增減(比較增減)、預算數(預算數)、說明(說明),https://opendata.epa.gov.tw/Data/Contents/OTH01542/
280,行政院環境保護署環境保護產品申請審查作業規範,生活環境與其他,管制考核及糾紛處理處,行政院環境保護署環境保護產品申請審查作業規範,Name(名稱)、Url(連結)。,https://opendata.epa.gov.tw/Data/Contents/OTH01272/
281,行政院環境保護署環境保護產品管理作業規範,生活環境與其他,管制考核及糾紛處理處,行政院環境保護署環境保護產品管理作業規範,Name(名稱)、Url(連結)。,https://opendata.epa.gov.tw/Data/Contents/OTH01273/
282,行政院環境保護署環境保護產品證書規費收費標準,生活環境與其他,管制考核及糾紛處理處,行政院環境保護署環境保護產品證書規費收費標準,Name(名稱)、Url(連結)。,https://opendata.epa.gov.tw/Data/Contents/OTH01270/
283,行政院環境保護署環境保護產品驗證機構管理要點,生活環境與其他,管制考核及糾紛處理處,行政院環境保護署環境保護產品驗證機構管理要點,無,https://opendata.epa.gov.tw/Data/Contents/OTH01274/
284,行政院環境保護署環境教育人員認證展延申請書,生活環境與其他,環境保護人員訓練所,環境教育人員認證展延申請書、工作參與經驗及未來規劃、研習課程彙總表、進修或推廣教育課程彙總表、發表論文或翻譯文件彙總表、國內外專利證明彙總表、學校環境教育指定人員證明文件,認證展延申請書(認證展延申請書)、參與經驗及未來規劃(參與經驗及未來規劃)、研習課程彙總表(研習課程彙總表)、進修或推廣教育課程彙總表(進修或推廣教育課程彙總表)、論文或翻譯文獻彙總表(論文或翻譯文獻彙總表)、專利證明彙總(專利證明彙總),https://opendata.epa.gov.tw/Data/Contents/OTH01520/
285,行政院環境保護署環境教育人員認證展延研習開課申請書,生活環境與其他,環境保護人員訓練所,環境教育人員認證展延研習開課申請書、展延研習課程一覽表、展延研習課程科目規劃表、授課講師資料及同意書、郵寄封面,展延研習開課申請書(展延研習開課申請書)、展延研習課程一覽表(展延研習課程一覽表)、展延研習課程科目規劃表(展延研習課程科目規劃表)、授課講師資料及同意(授課講師資料及同意),https://opendata.epa.gov.tw/Data/Contents/OTH01523/
286,行政院環境保護署環境教育設施場所認證展延申請書,生活環境與其他,環境保護人員訓練所,環境教育設施場所認證展延申請書、新版專業人力配置表、核定之課程方案彙總表、新版經營管理計畫書、郵寄封面,認證展延申請書(認證展延申請書)、環境教育專業人力配置表(環境教育專業人力配置表)、核定之課程方案彙總表(核定之課程方案彙總表)、經營管理計畫(經營管理計畫),https://opendata.epa.gov.tw/Data/Contents/OTH01522/
287,行政院環境保護署環境教育機構認證展延申請書,生活環境與其他,環境保護人員訓練所,環境教育機構認證展延申請書、新版專業人力配置表、新版訓練課程規劃表、新版經營管理計畫書、郵寄封面,認證展延申請書(認證展延申請書)、環境教育專業人力配置表(環境教育專業人力配置表)、環境教育人員訓練課程規劃(環境教育人員訓練課程規劃)、經營管理計畫(經營管理計畫),https://opendata.epa.gov.tw/Data/Contents/OTH01521/
288,行政院環境保護署環境檢驗所法定預算,生活環境與其他,環境檢驗所,環檢所單位預算（法定預算）,level、ba_objectno、mi_objectname、objectnoname、budgetamt_sum、displaymemo、btn_memo、bq_fiscalyear、bq_fundkind、bq_budgetkind、bq_specialbudgetno、bq_agenno、bq_agentype、bq_budgetstate、bq_budgetno、bq_objectno、bq_carid、bq_persons、bq_buydate、bq_ventsize、bq_oilamt、bq_oilprice、bq_amt_maintain、bq_amt5、bq_carnum、bq_remark、bq_lpgamt、bq_lpgprice、bq_versiondate、objectNo、budget、total、bh_fiscalyear、bh_fundkind、bh_budgetkind、bh_specialbudgetno、bh_agenno、bh_agentype、bh_budgetstate、bh_versiondate、bh_objectno、bh_endowplanno、bh_endowplanname、bh_donname、bh_endowsts、bh_budgetno、bh_subprojectno、bh_budgetsource、bh_applyid、bh_startyear、bh_endyear、bh_donrem、bh_bgtyear、bh_amt_man、bh_amt_business、bh_amt_other、bh_amt_land、bh_amt_house、bh_amt6、bh_amt7、bh_flowflag、bh_signflag、bh_signno、mj_subprojectno_na、b07_fiscalyear、b07_fundkind、b07_budgetkind、b07_specialbudgetno、b07_agenno、b07_agentype、b07_budgetstate、b07_projtype、b07_abroadplan、b07_items、b07_daypersons、b07_budgetamt、b07_versiondate、this_items、this_daypersons、this_budgetamt、bm_fiscalyear、bm_fundkind、bm_budgetkind、bm_specialbudgetno、bm_agenno、bm_agentype、bm_budgetstate、bm_abroadplan、bm_projtype、bm_projno、bm_abroadplanname、bm_visitsts、bm_visitexplain、bm_dispatchstaffs、bm_abroadsite1、bm_abroadsite2、bm_abroadsite3、bm_abroadperiod1、bm_abroadperiodto1、bm_abroadperiod2、bm_abroadperiodto2、bm_abroadperiod3、bm_abroadperiodto3、bm_abroadstaffs1、bm_abroadstaffs2、bm_abroadstaffs3、bm_abroadallowance1、bm_abroadallowance2、bm_abroadallowance3、bm_budgetno、bm_regionno、bm_country、bm_agency、bm_cont_text、bm_durationfrom、bm_durationto、bm_days、bm_persons、bm_amt_trans、bm_amt_life、bm_amt_public、bm_amt_books、bm_amt_flight、bm_versiondate、mh_itemserialno1、mh_itemserialno2、mh_itemserialno3、mh_itemserialno4、budgetno、mh_budgetname、budgetno_conver、tyear_amt、lyear_amt、byear_amt、b_amt、bc_content、blevel、ordinaryid、ba_fiscalyear、ba_fundkind、ba_budgetkind、ba_specialbudgetno、ba_agenno、ba_agentype、ba_budgetstate、ba_versiondate、ba_budgetyear、ba_budgetno、ba_subprojectno、mj_subprojectname、ba_departno、ba_budgettype、ba_budgetsource、ba_mergetype、ba_budgetamt、ba_flowflag、ba_signflag、ba_signno、ba_key、bc_fiscalyear、bc_fundkind、bc_budgetkind、bc_specialbudgetno、bc_agenno、bc_agentype、bc_budgetstate、bc_reportno、bc_key、bc_versiondate、款、項、目、節、科目名稱、預算科目編號、人事費、業務費_經、獎補助費_經、債務費、預備金_經、經常支出小計、業務費_資、設備及投資、獎補助費_資、預備金_資、資本支出小計、合計、職能別分類經濟性分類、消費支出_經、債務利息_經、補助地方_經、移轉民間_經、小計_經、資本形成_資、土地購入_資、增資_資、補助地方_資、移轉民間_資、小計_資、總計、agenno、agentype、displayname、memo、budgetname、damt1、damt2、damt3、damt4、damt5、damt6、damt7、damt8、damt9、damt10、damt11、no1、no2、no3、no4、b_level、b06_fiscalyear、b06_fundkind、b06_budgetkind、b06_specialbudgetno、b06_agenno、b06_agentype、b06_budgetstate、b06_planno、b06_planname、b06_startyear、b06_endyear、b06_budgetamt、b06_amt1、b06_amt2、b06_amt3、b06_amt4、b06_memo、b06_upduserno、b06_upddatetime、b06_versiondate、b06_amt1_display、b06_amt2_display、b06_amt3_display、b06_amt4_display、b06_budgetamt_display、bn_fiscalyear、bn_fundkind、bn_budgetkind、bn_specialbudgetno、bn_agenno、bn_agentype、bn_budgetstate、bn_budgetsource、bn_man1、bn_man1_l、bn_man2、bn_man2_l、bn_man3、bn_man3_l、bn_man4、bn_man4_l、bn_man5、bn_man5_l、bn_man6、bn_man6_l、bn_man7、bn_man7_l、bn_man8、bn_man8_l、bn_man9、bn_man9_l、bn_man10、bn_man10_l、bn_man11、bn_man11_l、bn_amt_man、bn_amt_mngbsn、bn_text、display_name、m33_fiscalyear、m33_reportno、m33_level1、m33_level2、m33_level3、m33_level4、m33_objectname、m33_objectno、m33_detailid、br_fiscalyear、br_fundkind、br_budgetkind、br_specialbudgetno、br_agenno、br_agentype、br_budgetstate、br_objectno、br_holds1、br_area1、br_bookvalue1、br_amtyear1、br_holds2、br_area2、br_amtyear2、br_holds3、br_area3、br_deposit、br_rental、br_amtyear3、br_area4、br_deposit4、br_rental4、br_amtyear4、br_versiondate、br_text。,https://opendata.epa.gov.tw/Data/Contents/OTH01544/
289,行政院環境保護署環境檢驗所單位決算,生活環境與其他,環境檢驗所,行政院環境保護署環境檢驗所單位決算,會計年度、月份、基金別、會計分類、使用機關別、科目分類、會計科目編號、會計科目名稱、金額、會計年度、款、項、目、節、預算年度、預算科目編號、預算科目名稱、分計畫編號、分計畫名稱、以前年度轉入數_應付數、以前年度轉入數_保留數、本年度減免註銷數_應付數、本年度減免註銷數_保留數、本年度實現數_應付數、本年度實現數_保留數、本年度調整數_應付數、本年度調整數_保留數、本年度未結清數_應付數、本年度未結清數_保留數、會計年度、款、項、目、節、預算年度、預算科目編號、預算科目名稱、分計畫編號、分計畫名稱、以前年度轉入數_應付數、以前年度轉入數_保留數、本年度減免註銷數_應付數、本年度減免註銷數_保留數、本年度實現數_應付數、本年度實現數_保留數、本年度調整數_應付數、本年度調整數_保留數、本年度未結清數_應付數、本年度未結清數_保留數、會計年度、款、項、目、節、預算科目編號、預算科目名稱、細目編號、細目名稱、預算數_原預算數、預算數_預算增減數、預算數_合計1、決算數_實現數、決算數_應收數、決算數_保留數、決算數_合計2、預決算比較增減數、決算數占預算數之比率、會計年度、款、項、目、節、預算科目編號、預算科目名稱、分計畫編號、分計畫名稱、用途別編號、用途別名稱、原預算數、預算追加減數、動支第一預備金數、動支第二預備金數、經費流用數、預算調整數、預算增減數小計、預算數合計1、實現數、應付數、保留數、決算數合計2、預決算比較增減數、決算數占預算數之比率、會計年度、款、項、目、節、預算科目編號、預算科目名稱、分計畫編號、分計畫名稱、用途別編號、用途別名稱、原預算數、預算追加減數、動支第一預備金數、動支第二預備金數、經費流用數、預算調整數、預算增減數小計、預算數合計1、實現數、應付數、保留數、決算數合計2、預決算比較增減數、決算數占預算數之比率、會計年度、月份、會計分類、會計科目編號、會計科目名稱、金額,https://opendata.epa.gov.tw/Data/Contents/OTH01545/
290,行政院環境保護署環境檢驗所單位預算案,生活環境與其他,環境檢驗所,環檢所單位預算（預算案）,level、ba_objectno、mi_objectname、objectnoname、budgetamt_sum、displaymemo、btn_memo、bq_fiscalyear、bq_fundkind、bq_budgetkind、bq_specialbudgetno、bq_agenno、bq_agentype、bq_budgetstate、bq_budgetno、bq_objectno、bq_carid、bq_persons、bq_buydate、bq_ventsize、bq_oilamt、bq_oilprice、bq_amt_maintain、bq_amt5、bq_carnum、bq_remark、bq_lpgamt、bq_lpgprice、bq_versiondate、objectNo、budget、total、bh_fiscalyear、bh_fundkind、bh_budgetkind、bh_specialbudgetno、bh_agenno、bh_agentype、bh_budgetstate、bh_versiondate、bh_objectno、bh_endowplanno、bh_endowplanname、bh_donname、bh_endowsts、bh_budgetno、bh_subprojectno、bh_budgetsource、bh_applyid、bh_startyear、bh_endyear、bh_donrem、bh_bgtyear、bh_amt_man、bh_amt_business、bh_amt_other、bh_amt_land、bh_amt_house、bh_amt6、bh_amt7、bh_flowflag、bh_signflag、bh_signno、mj_subprojectno_na、b07_fiscalyear、b07_fundkind、b07_budgetkind、b07_specialbudgetno、b07_agenno、b07_agentype、b07_budgetstate、b07_projtype、b07_abroadplan、b07_items、b07_daypersons、b07_budgetamt、b07_versiondate、this_items、this_daypersons、this_budgetamt、bm_fiscalyear、bm_fundkind、bm_budgetkind、bm_specialbudgetno、bm_agenno、bm_agentype、bm_budgetstate、bm_abroadplan、bm_projtype、bm_projno、bm_abroadplanname、bm_visitsts、bm_visitexplain、bm_dispatchstaffs、bm_abroadsite1、bm_abroadsite2、bm_abroadsite3、bm_abroadperiod1、bm_abroadperiodto1、bm_abroadperiod2、bm_abroadperiodto2、bm_abroadperiod3、bm_abroadperiodto3、bm_abroadstaffs1、bm_abroadstaffs2、bm_abroadstaffs3、bm_abroadallowance1、bm_abroadallowance2、bm_abroadallowance3、bm_budgetno、bm_regionno、bm_country、bm_agency、bm_cont_text、bm_durationfrom、bm_durationto、bm_days、bm_persons、bm_amt_trans、bm_amt_life、bm_amt_public、bm_amt_books、bm_amt_flight、bm_versiondate、mh_itemserialno1、mh_itemserialno2、mh_itemserialno3、mh_itemserialno4、budgetno、mh_budgetname、budgetno_conver、tyear_amt、lyear_amt、byear_amt、b_amt、bc_content、blevel、ordinaryid、ba_fiscalyear、ba_fundkind、ba_budgetkind、ba_specialbudgetno、ba_agenno、ba_agentype、ba_budgetstate、ba_versiondate、ba_budgetyear、ba_budgetno、ba_subprojectno、mj_subprojectname、ba_departno、ba_budgettype、ba_budgetsource、ba_mergetype、ba_budgetamt、ba_flowflag、ba_signflag、ba_signno、ba_key、bc_fiscalyear、bc_fundkind、bc_budgetkind、bc_specialbudgetno、bc_agenno、bc_agentype、bc_budgetstate、bc_reportno、bc_key、bc_versiondate、款、項、目、節、科目名稱、預算科目編號、人事費、業務費_經、獎補助費_經、債務費、預備金_經、經常支出小計、業務費_資、設備及投資、獎補助費_資、預備金_資、資本支出小計、合計、職能別分類經濟性分類、消費支出_經、債務利息_經、補助地方_經、移轉民間_經、小計_經、資本形成_資、土地購入_資、增資_資、補助地方_資、移轉民間_資、小計_資、總計、agenno、agentype、displayname、memo、budgetname、damt1、damt2、damt3、damt4、damt5、damt6、damt7、damt8、damt9、damt10、damt11、no1、no2、no3、no4、b_level、b06_fiscalyear、b06_fundkind、b06_budgetkind、b06_specialbudgetno、b06_agenno、b06_agentype、b06_budgetstate、b06_planno、b06_planname、b06_startyear、b06_endyear、b06_budgetamt、b06_amt1、b06_amt2、b06_amt3、b06_amt4、b06_memo、b06_upduserno、b06_upddatetime、b06_versiondate、b06_amt1_display、b06_amt2_display、b06_amt3_display、b06_amt4_display、b06_budgetamt_display、bn_fiscalyear、bn_fundkind、bn_budgetkind、bn_specialbudgetno、bn_agenno、bn_agentype、bn_budgetstate、bn_budgetsource、bn_man1、bn_man1_l、bn_man2、bn_man2_l、bn_man3、bn_man3_l、bn_man4、bn_man4_l、bn_man5、bn_man5_l、bn_man6、bn_man6_l、bn_man7、bn_man7_l、bn_man8、bn_man8_l、bn_man9、bn_man9_l、bn_man10、bn_man10_l、bn_man11、bn_man11_l、bn_amt_man、bn_amt_mngbsn、bn_text、display_name、m33_fiscalyear、m33_reportno、m33_level1、m33_level2、m33_level3、m33_level4、m33_objectname、m33_objectno、m33_detailid、br_fiscalyear、br_fundkind、br_budgetkind、br_specialbudgetno、br_agenno、br_agentype、br_budgetstate、br_objectno、br_holds1、br_area1、br_bookvalue1、br_amtyear1、br_holds2、br_area2、br_amtyear2、br_holds3、br_area3、br_deposit、br_rental、br_amtyear3、br_area4、br_deposit4、br_rental4、br_amtyear4、br_versiondate、br_text。,https://opendata.epa.gov.tw/Data/Contents/OTH01546/
291,行政院環境保護署環境檢驗所會計月報,生活環境與其他,環境檢驗所,行政院環境保護署環境檢驗所會計月報,會計年度、月份、會計分類、項目、預算科目編號、預算科目名稱、分支計畫編號、分支計畫名稱、一級用途別編號、一級用途別名稱、經資門、支出實現數、加項_預付款、加項_材料、加項_存出保證金、加項_零用金、加項_退還收入預收款、加項_其他應收款、減項_以前年度撥款於本年度實現數、公庫撥入數、公庫分配數餘額、基金別、使用機關別、科目分類、會計科目編號、會計科目名稱、金額、金額_本月數、金額_累計數、收入實現數、減項_收入待納庫數、加項_以前年度待納庫繳庫數、加項_以前年度撥款於本年度繳還數_材料、加項_以前年度撥款於本年度繳還數_存出保證金、加項_以前年度撥款於本年度繳還數_其他應收款、加項_預收款、加項_剔除經費、繳付公庫數、款、項、目、節、細目編號、細目名稱、年度預算數、預算年度、原預算數、追加減數、截至本月止累計分配數_1、本月實現數、截至本月止累計實現數_2、應收收入數_3、分配數預算餘額_4、用途別編號、用途別名稱、第一預備金、第二預備金、經費流用數、預算調整數、應付數、已分配尚未執行數、備註_預暫付數、業務計畫或工作計畫、執行數、科目名稱、取得成本、以前年度累計折舊_長期投資評價、本年度資本資產成本變動_增加數、本年度資本資產成本變動_減少數、本年度累計折舊_長期投資評價變動數、期末帳面金額、備註。,https://opendata.epa.gov.tw/Data/Contents/OTH01391/
292,行動監測車,大氣,環境監測及資訊處,上傳各監測車小時資料,SiteId(測站代碼)、SiteName(測站名稱)、ItemId(測項代碼)、ItemName(測項名稱)、ItemEngName(測項英文名稱)、ItemUnit(測項單位)、MonitorDate(監測日期)、Concentration(數值),https://opendata.epa.gov.tw/Data/Contents/ATM00753/
293,行動監測車(歷史資料),大氣,環境監測及資訊處,每月10日前提供前月行動監測小時值資料,SITEID(測站代碼)、SITENAME(測站名稱)、ITEMNAME(測項代碼)、ITEMENGNAME(測項名稱)、ITEMUNIT(測項英文名稱)、ITEMID(測項單位)、MONITORDATE(監測日期)、MONITORVALUE0(數值（0時）)、MONITORVALUE1(數值（1時）)、MONITORVALUE2(數值（2時）)、MONITORVALUE3(數值（3時）)、MONITORVALUE4(數值（4時）)、MONITORVALUE5(數值（5時）)、MONITORVALUE6(數值（6時）)、MONITORVALUE7(數值（7時）)、MONITORVALUE8(數值（8時）)、MONITORVALUE9(數值（9時）)、MONITORVALUE10(數值（10時）)、MONITORVALUE11(數值（11時）)、MONITORVALUE12(數值（12時）)、MONITORVALUE13(數值（13時）)、MONITORVALUE14(數值（14時）)、MONITORVALUE15(數值（15時）)、MONITORVALUE16(數值（16時）)、MONITORVALUE17(數值（17時）)、MONITORVALUE18(數值（18時）)、MONITORVALUE19(數值（19時）)、MONITORVALUE20(數值（20時）)、MONITORVALUE21(數值（21時）)、MONITORVALUE22(數值（22時）)、MONITORVALUE23(數值（23時）)、TWD97LON(座標（LON）)、TWD97LAT(座標（LAT）)。,https://opendata.epa.gov.tw/Data/Contents/ATM00770/
294,行政院環境保護署推動產品碳足跡標示作業要點,大氣,管制考核及糾紛處理處,行政院環境保護署推動產品碳足跡標示作業要點,無,https://opendata.epa.gov.tw/Data/Contents/ATM00432/
295,行政院環境保護署推動產品碳足跡標示審議會設置要點,大氣,管制考核及糾紛處理處,行政院環境保護署推動產品碳足跡標示審議會設置要點,無,https://opendata.epa.gov.tw/Data/Contents/ATM00433/
296,低關注聚合物事前審定表單,生活環境與其他,"毒物及化學物質局 ",如為低關注聚合物須填寫事前審定表單,基本資料(基本資料)、聚合物辨識資訊(聚合物辨識資訊)、聚合物特殊資訊(聚合物特殊資訊)、單體反應體列表資訊(單體反應體列表資訊)、溶解度資(溶解度資),https://opendata.epa.gov.tw/Data/Contents/OTH01471/
297,即時天氣資料,大氣,交通部中央氣象局,全省各地即時天氣資料,SiteName(地點)、WindDirection(風向)、WindPower(風力(級))、Gust(陣風(級))、Visibility(能見度(公里))、Temperature(溫度(0C))、Moisture(相對溼度(%))、AtmosphericPressure(海平面氣壓(百帕))、Weather(天氣狀況)、Rainfall1day(日累積雨量(毫米))、Unit(發布單位)、DataCreationDate(資料建置日期)。,https://opendata.epa.gov.tw/Data/Contents/ATM00698/
298,即時海水水位,水,交通部中央氣象局,沿岸潮位站即時潮位監測資料(未品管),stationId(測站代碼)、obsTime(監測時間)、value(潮高)、measures(單位)、locationName(測站名稱)。,https://opendata.epa.gov.tw/Data/Contents/WAT00222/
299,我國重要環保統計資料,生活環境與其他,統計室,我國環境狀況資料，包括空氣、廢棄物、環境衛生及毒化物管理、公害陳情及其他相關統計等五大類數據,ItemName(統計項名稱)、Category(類別)、Year(年度)、Month(月份)、ItemValue(監測值)、ItemUnit(測項單位)。,https://opendata.epa.gov.tw/Data/Contents/STATIS/
300,沙塵預報資料,大氣,環境監測及資訊處,為研判沙塵是否會影響到我國空氣品質，環保署根據過去沙塵侵台的路徑歸納相關資料，包括透過沙塵暴發生及大氣環流資訊蒐集、空氣品質監測資料分析等，建立沙塵影響空氣品質預報研判，環保署於每年11月~隔年5月沙塵來臨季節提供最新沙塵資訊,PublishTime(發布時間)、Subject(預報標題)、Content(預報內容)。,https://opendata.epa.gov.tw/Data/Contents/SANDST/
